index,type,a1,a2,a3,a4,a5,a6,a7,a8,mod_factor,a1_mod,a2_mod,a3_mod,a4_mod,a5_mod,a6_mod,a7_mod,a8_mod,norm_orig,norm_mod,proj_x,proj_y,dot_u
65,integer,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.88787897,0.00000000,0.00000000,-0.88787897,0.00000000,0.00000000,0.00000000,-0.88787897,0.00000000,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
66,integer,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
67,integer,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
68,integer,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.11212103,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
69,integer,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.88787897,0.00000000,0.00000000,-0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,-0.88787897,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
70,integer,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
71,integer,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
72,integer,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.11212103,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
73,integer,0.00000000,0.00000000,0.00000000,-1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.88787897,0.00000000,0.00000000,0.00000000,-0.88787897,-0.88787897,0.00000000,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
74,integer,0.00000000,0.00000000,0.00000000,-1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
75,integer,0.00000000,0.00000000,0.00000000,1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
76,integer,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,1.11212103,1.11212103,0.00000000,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
77,integer,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.88787897,0.00000000,0.00000000,0.00000000,-0.88787897,0.00000000,-0.88787897,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
78,integer,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
79,integer,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
80,integer,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,1.11212103,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
81,integer,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.88787897,0.00000000,0.00000000,0.00000000,-0.88787897,0.00000000,0.00000000,-0.88787897,0.00000000,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
82,integer,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
83,integer,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
84,integer,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,1.11212103,0.00000000,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
85,integer,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.88787897,0.00000000,0.00000000,0.00000000,-0.88787897,0.00000000,0.00000000,0.00000000,-0.88787897,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
86,integer,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
87,integer,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
88,integer,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.11212103,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,1.11212103,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
89,integer,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,-1.00000000,0.00000000,0.00000000,0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,-0.88787897,-0.88787897,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,0.62782524,-0.70710678
90,integer,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,1.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
91,integer,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
92,integer,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,1.11212103,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,-0.78638832,0.70710678
93,integer,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,-1.00000000,0.00000000,0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,-0.88787897,0.00000000,-0.88787897,0.00000000,1.41421356,1.25565048,-0.62782524,0.62782524,-0.70710678
94,integer,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
95,integer,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
96,integer,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,1.11212103,0.00000000,1.41421356,1.57277664,0.78638832,-0.78638832,0.70710678
